adm1,adm2,adm3,hf,community,school_name
Bo District,Bo City Council,Bo City,Aethel CHP,Bo town,RC Primary School
Bo District,Bo City Council,Bo City,Agape Way CHP,,
Bo District,Bo City Council,Bo City,Anglican Diocese Clinic,,
Bo District,Bo City Council,Bo City,Batiama Layout MCHP,,
Bo District,Bo City Council,Bo City,Bo Government Hospital,,
Bo District,Bo City Council,Bo City,Bo School Bay CHP,,
Bo District,Bo City Council,Bo City,Breakthrough MCHP,,
Bo District,Bo City Council,Bo City,Brima Town CHP,,
Bo District,Bo City Council,Bo City,EDC Unit CHP,,
Bo District,Bo City Council,Bo City,Favour MCHP,,
Bo District,Bo City Council,Bo City,Gbanja Town MCHP,,
Bo District,Bo City Council,Bo City,Gbotima CHP,,
Bo District,Bo City Council,Bo City,Genda CHP,,
Bo District,Bo City Council,Bo City,Genda MCHP,,
Bo District,Bo City Council,Bo City,Gilas Hospital,,
Bo District,Bo City Council,Bo City,Haikel CHP,,
Bo District,Bo City Council,Bo City,Kakua Static CHC,,
Bo District,Bo City Council,Bo City,Kandeh Town CHP,,
Bo District,Bo City Council,Bo City,Kindoya Hospital,,
Bo District,Bo City Council,Bo City,Kowama (Kakua) CHP,,
Bo District,Bo City Council,Bo City,Lewaibu CHP,,
Bo District,Bo City Council,Bo City,Lyn Maternity MCHP,,
Bo District,Bo City Council,Bo City,Manjiama CHC,,
Bo District,Bo City Council,Bo City,Mercy Ships (Bo City) Hospital,,
Bo District,Bo City Council,Bo City,Mid Land MCHP,,
Bo District,Bo City Council,Bo City,Morning Star CHP,,
Bo District,Bo City Council,Bo City,Nafaya MCHP,,
Bo District,Bo City Council,Bo City,Needy CHP,,
Bo District,Bo City Council,Bo City,New Police Barracks CHC,,
Bo District,Bo City Council,Bo City,Praise Foundation CHC,,
Bo District,Bo City Council,Bo City,Red Cross (Bo City) CHC,,
Bo District,Bo City Council,Bo City,Rescue Health Care Clinic,,
Bo District,Bo City Council,Bo City,Simbo Town CHP,,
Bo District,Bo City Council,Bo City,Sowa's Clinic,,
Bo District,Bo City Council,Bo City,Spllenz Clinic,,
Bo District,Bo City Council,Bo City,St Monica's Clinic,,
Bo District,Bo City Council,Bo City,Tengbewabu MCHP,,
Bo District,Bo City Council,Bo City,Topkoi Town CHP,,
Bo District,Bo City Council,Bo City,UNIMUS MCHP,,
Bo District,Bo City Council,Bo City,Walk In Medical Associate Clinic,,
Bo District,Bo City Council,Bo City,Yemoh Town CHC,,
Bo District,Bo District Council,Badjia Chiefdom,Ngelehun (Badjia) CHC,,
Bo District,Bo District Council,Badjia Chiefdom,Njagbahun (Badjia) MCHP,,
Bo District,Bo District Council,Badjia Chiefdom,Njandama MCHP,,
Bo District,Bo District Council,Bagbwe Chiefdom,Barlie MCHP,,
Bo District,Bo District Council,Bagbwe Chiefdom,Benduma (Bagbwe) MCHP,,
Bo District,Bo District Council,Bagbwe Chiefdom,Kondiama MCHP,,
Bo District,Bo District Council,Bagbwe Chiefdom,Kpetema (Bagbwe) MCHP,,
Bo District,Bo District Council,Bagbwe Chiefdom,Mendewa MCHP,,
Bo District,Bo District Council,Bagbwe Chiefdom,Ngalu CHC,,
Bo District,Bo District Council,Bagbwe Chiefdom,Samie Buma MCHP,,
Bo District,Bo District Council,Baoma Chiefdom,Baoma Station CHP,,
Bo District,Bo District Council,Baoma Chiefdom,Blamawo MCHP,,
Bo District,Bo District Council,Baoma Chiefdom,Faabu CHP,,
Bo District,Bo District Council,Baoma Chiefdom,Foindu (Baoma) MCHP,,
Bo District,Bo District Council,Baoma Chiefdom,Gbahama (Baoma) CHP,,
Bo District,Bo District Council,Baoma Chiefdom,Gerehun CHC,,
Bo District,Bo District Council,Baoma Chiefdom,Golu MCHP,,
